# Recipes — matched against the plate AND used by the menu generator.
# core = ingredients that DEFINE the dish; opt = the garnish/micro layer (flax, lemon, seeds, moringa).
#   The MATCHER treats opt as optional; the MENU GENERATOR places it anyway — that layer is where
#   omega-3, calcium, zinc and the iron-absorption partner live. See menu.html.
# ids are space-separated (ingredient ids from ingredients.csv). meals = space-separated meal types it fits.
#
# effort = ACTIVE minutes, assuming the §6 prep blocks are done (dal cooked, eggs boiled, base bhuna'd).
#   This is the axis that actually matters. Indian home cooking is structurally expensive — a tadka,
#   a bhuna, a gravy, then rice, then a sabzi. The global one-pan and assembly formats hit the same
#   nutrition in a third of the time, which is exactly what §8 "Beyond Indian" says.
#   Tier 0 = 0-6 min  (no cooking, pure assembly — the highest-leverage dishes here)
#   Tier 1 = 8-15 min (one pan)
#   Tier 2 = 20-30 min (multi-step — kept, but the generator knows they cost more)
# cuisine: global | greek | med | levant | italian | mexican | asian | north | south | west | chaat | neutral
# No commas inside any field.
id,name,meals,core,opt,method,cuisine,effort
# --- TIER 0 · assembly, no cooking (0-6 min). The highest-leverage dishes in the whole set:
# --- global formats where nutrition comes from ASSEMBLY, not technique.
overnight_oats,Overnight oats,breakfast,oats curd banana,flax pumpkin til guava papaya,Stir oats into curd with fruit and seeds the night before - zero morning effort,global,3
greek_bowl,Greek curd bowl,breakfast snack,curd cucumber tomato egg,lemon til pumpkin coriander,Thick curd with cucumber-tomato boiled egg and a seed scatter,greek,5
chickpea_salad,Chickpea salad,lunch snack,kabuli cucumber tomato onion lemon,coriander gchilli pumpkin til,Toss boiled chickpeas raw with cucumber-tomato-lemon,med,6
egg_salad,Egg and cucumber salad,lunch snack,egg cucumber curd onion lemon,coriander gchilli pumpkin,Chop boiled eggs into curd with cucumber and onion,global,5
caprese,Tomato-paneer salad,snack lunch,paneer tomato lemon,coriander pumpkin til cucumber,Sliced paneer and tomato with lemon - caprese without the basil,italian,4
buddha_bowl,Grain and sprout bowl,lunch dinner,rice sprout carrot beet pb lemon,coriander pumpkin til cucumber,Cooled grain topped with sprouts raw veg and a peanut-lemon dressing,global,8
levant_chana,Lemon-til chana bowl,lunch snack,kala til lemon garlic,onion tomato coriander cucumber,Chana loosened with til-lemon-water - tahini-less and bright,levant,6
rajma_chaat,Rajma chaat,snack lunch,rajma onion tomato lemon,coriander gchilli pumpkin,Cold rajma tossed raw with onion-tomato-lime,chaat,5
